Index,Kanji,Reading,Definition,Frequency,Dispersion,Core 6K Position,Jisho Link
4426,流通,りゅうつう,"circulation, distribution",10,0.8,5147,http://jisho.org/search/流通
4427,郵送,ゆうそう,"mail, post",10,0.3,4413,http://jisho.org/search/郵送
4428,平ら,たいら,flat,10,0.94,4870,http://jisho.org/search/平ら
4429,赤字,あかじ,"deficit, loss, (in) the red",10,0.82,2194,http://jisho.org/search/赤字
4430,二位,にい,second place,10,0.83,N/A,http://jisho.org/search/二位
4431,刃物,はもの,"cutlery, edged tool, knife",10,0.78,N/A,http://jisho.org/search/刃物
4432,苦情,くじょう,complaint,10,0.84,3313,http://jisho.org/search/苦情
4433,入社,にゅうしゃ,entry to a company,10,0.89,4188,http://jisho.org/search/入社
4434,役所,やくしょ,government office,10,0.95,4432,http://jisho.org/search/役所
4435,三百円,さんびゃくえん,three hundred yen,10,0.56,N/A,http://jisho.org/search/三百円
4436,チラシ,ちらし,"flyer, leaflet, handout",10,0.93,N/A,http://jisho.org/search/チラシ
4437,成人,せいじん,adult,10,0.95,2867,http://jisho.org/search/成人
4438,工具,こうぐ,tool,10,0.62,N/A,http://jisho.org/search/工具
4439,先週,せんしゅう,last week,10,0.57,421,http://jisho.org/search/先週
4440,境,さかい,"boundary, border",10,0.96,3141,http://jisho.org/search/境
4441,国語,こくご,Japanese language,10,0.95,2184,http://jisho.org/search/国語
4442,三十人,さんじゅうにん,thirty people,10,0.47,N/A,http://jisho.org/search/三十人
4443,兵士,へいし,soldier,10,0.8,5612,http://jisho.org/search/兵士
4444,芸能人,げいのうじん,entertainer,10,0.72,N/A,http://jisho.org/search/芸能人
4445,こんにちは,こんにちは,"Hello, Good afternoon",10,0.73,N/A,http://jisho.org/search/こんにちは
4446,ふっと,ふっと,suddenly,10,0.76,N/A,http://jisho.org/search/ふっと
4447,日付,ひづけ,"date, day",10,0.92,N/A,http://jisho.org/search/日付
4448,相違,そうい,"difference, disagreement",10,0.75,N/A,http://jisho.org/search/相違
4449,決定的,けっていてき,"definitive, absolute",10,0.88,N/A,http://jisho.org/search/決定的
4450,無意識,むいしき,unconsciousness,10,0.84,4967,http://jisho.org/search/無意識
4451,友人達,ゆうじんたち,friends,10,0.85,N/A,http://jisho.org/search/友人達
4452,債務者,さいむしゃ,debtor,10,0.74,N/A,http://jisho.org/search/債務者
4453,四ヶ月,よんかげつ,four months,10,0.85,N/A,http://jisho.org/search/四ヶ月
4454,始末,しまつ,"disposal, circumstances",10,0.9,N/A,http://jisho.org/search/始末
4455,合間,あいま,"interval, pause, spare moment",10,0.87,N/A,http://jisho.org/search/合間
4456,副作用,ふくさよう,side effect,10,0.93,N/A,http://jisho.org/search/副作用
4457,成分,せいぶん,"ingredient, constituent, component",10,0.97,N/A,http://jisho.org/search/成分
4458,初,はつ,first,10,0.83,N/A,http://jisho.org/search/初
4459,ドライバー,どらいばー,driver,10,0.82,N/A,http://jisho.org/search/ドライバー
4460,渋滞,じゅうたい,"traffic jam, delay",10,0.89,3213,http://jisho.org/search/渋滞
4461,遠慮,えんりょ,reserve,10,0.9,1957,http://jisho.org/search/遠慮
4462,印,しるし,"mark, tick, check",10,0.9,3242,http://jisho.org/search/印
4463,今週,こんしゅう,this week,10,0.51,66,http://jisho.org/search/今週
4464,慰める,なぐさめる,"console, comfort",10,0.81,5959,http://jisho.org/search/慰める
4465,一方的,いっぽうてき,"unilateral, one-sided",10,0.96,N/A,http://jisho.org/search/一方的
4466,開設,かいせつ,establishment,10,0.76,N/A,http://jisho.org/search/開設
4467,アニメ,あにめ,animation,10,0.65,N/A,http://jisho.org/search/アニメ
4468,さっさと,さっさと,quickly,10,0.85,N/A,http://jisho.org/search/さっさと
4469,勢力,せいりょく,"power, influence, strength",10,0.88,3635,http://jisho.org/search/勢力
4470,梅,うめ,"plum, Japanese apricot",10,0.88,3927,http://jisho.org/search/梅
4471,霊,れい,"spirit, soul",10,0.82,N/A,http://jisho.org/search/霊
4472,予感,よかん,"presentiment, foreboding, hunch",10,0.84,N/A,http://jisho.org/search/予感
4473,学者,がくしゃ,scholar,10,0.83,2693,http://jisho.org/search/学者
4474,車椅子,くるまいす,wheelchair,10,0.96,3990,http://jisho.org/search/車椅子
4475,月曜日,げつようび,Monday,10,0.84,51,http://jisho.org/search/月曜日
4476,北京,ぺきん,Beijing,10,0.9,N/A,http://jisho.org/search/北京
4477,論理,ろんり,logic,10,0.77,4824,http://jisho.org/search/論理
4478,見込む,みこむ,"expect, trust",10,0.74,N/A,http://jisho.org/search/見込む
4479,四十分,"よんじゅっぷん,よんじっぷん",forty minutes,10,0.9,N/A,http://jisho.org/search/四十分
4480,歩道,ほどう,"sidewalk, pavement",10,0.98,639,http://jisho.org/search/歩道
4481,二千,にせん,two thousand,10,0.89,N/A,http://jisho.org/search/二千
4482,政治的,せいじてき,political,10,0.86,N/A,http://jisho.org/search/政治的
4483,九年,きゅうねん,nine years,10,0.72,N/A,http://jisho.org/search/九年
4484,欠く,かく,lack; chip,10,0.87,2552,http://jisho.org/search/欠く
4485,報告書,ほうこくしょ,report,10,0.65,N/A,http://jisho.org/search/報告書
4486,近づける,ちかづける,bring close,10,0.96,N/A,http://jisho.org/search/近づける
4487,壼,つぼ,"pot, vase",10,0.85,N/A,http://jisho.org/search/壼
4488,講座,こうざ,"course, lecture",10,0.54,N/A,http://jisho.org/search/講座
4489,レシピ,れしぴ,recipe,10,0.71,N/A,http://jisho.org/search/レシピ
4490,行列,ぎょうれつ,"procession, line, parade",10,0.89,3291,http://jisho.org/search/行列
4491,計上,けいじょう,appropriation,10,0.59,N/A,http://jisho.org/search/計上
4492,受診,じゅしん,(medical) consultation,10,0.51,N/A,http://jisho.org/search/受診
4493,指揮,しき,"direction, command",10,0.95,3787,http://jisho.org/search/指揮
4494,保管,ほかん,"keeping, storage",10,0.92,N/A,http://jisho.org/search/保管
4495,パートナー,ぱーとなー,partner,10,0.96,N/A,http://jisho.org/search/パートナー
4496,発足,ほっそく,start,10,0.78,N/A,http://jisho.org/search/発足
4497,火事,かじ,fire,10,0.91,612,http://jisho.org/search/火事
4498,中世,ちゅうせい,"Middle Ages, medieval",10,0.81,4265,http://jisho.org/search/中世
4499,考察,こうさつ,"consideration, examination",10,0.73,N/A,http://jisho.org/search/考察
4500,祝い,いわい,celebration,10,0.83,3392,http://jisho.org/search/祝い
4501,儲ける,もうける,"profit, earn, gain",10,0.96,N/A,http://jisho.org/search/儲ける
4502,指差す,ゆびさす,point,10,0.59,4605,http://jisho.org/search/指差す
4503,認可,きょか,"permission, approval",10,0.32,4919,http://jisho.org/search/認可
4504,劣る,おとる,be inferior,10,0.94,3878,http://jisho.org/search/劣る
4505,ぶつける,ぶつける,hit; throw,10,0.9,4577,http://jisho.org/search/ぶつける
4506,条約,じょうやく,"treaty, agreement",10,0.54,3018,http://jisho.org/search/条約
4507,像,ぞう,"figure, statue",10,0.89,N/A,http://jisho.org/search/像
4508,マッチ,まっち,match,10,0.92,1235,http://jisho.org/search/マッチ
4509,二千円,にせんえん,two thousand yen,10,0.54,N/A,http://jisho.org/search/二千円
4510,キャベツ,きゃべつ,cabbage,10,0.92,2961,http://jisho.org/search/キャベツ
4511,デザート,でざーと,dessert,10,0.81,5320,http://jisho.org/search/デザート
4512,議員,ぎいん,member of Diet/Congress/Parliament,10,0.88,1163,http://jisho.org/search/議員
4513,審議,しんぎ,"discussion, deliberation",10,0.45,3809,http://jisho.org/search/審議
4514,涼しい,すずしい,cool,10,0.83,1424,http://jisho.org/search/涼しい
4515,性,せい,"sex, gender",10,0.83,2362,http://jisho.org/search/性
4516,仕草,しぐさ,"behavior, gesture",10,0.85,N/A,http://jisho.org/search/仕草
4517,マスター,ますたー,master,10,0.88,N/A,http://jisho.org/search/マスター
4518,泡,あわ,"bubble, foam",10,0.91,N/A,http://jisho.org/search/泡
4519,年配,ねんぱい,elderly person,10,0.8,4411,http://jisho.org/search/年配
4520,万が一,まんがいち,just in case,10,0.96,N/A,http://jisho.org/search/万が一
4521,挙げ句,あげく,"in the end, finally",10,0.89,N/A,http://jisho.org/search/挙げ句
4522,つなげる,つなげる,"connect, tie",10,0.9,N/A,http://jisho.org/search/つなげる
4523,弟子,でし,"pupil, disciple",10,0.8,N/A,http://jisho.org/search/弟子
4524,分解,ぶんかい,analysis,10,0.96,4283,http://jisho.org/search/分解
4525,一発,いっぱつ,"shot, punch",10,0.87,N/A,http://jisho.org/search/一発
4526,ささやく,ささやく,whisper,10,0.7,N/A,http://jisho.org/search/ささやく
4527,調達,ちょうたつ,"supply, procurement",10,0.9,N/A,http://jisho.org/search/調達
4528,二十六,にじゅうろく,twenty-six,10,0.78,N/A,http://jisho.org/search/二十六
4529,制服,せいふく,uniform,10,0.98,2674,http://jisho.org/search/制服
4530,オーブン,おーぶん,oven,10,0.85,N/A,http://jisho.org/search/オーブン
4531,パンフレット,ぱんふれっと,brochure,10,0.97,N/A,http://jisho.org/search/パンフレット
4532,賞,しょう,"prize, award",10,0.8,3421,http://jisho.org/search/賞
4533,白人,はくじん,"Caucasian, ‘white person’",10,0.86,N/A,http://jisho.org/search/白人
4534,いささか,いささか,"a little, slightly, rather",10,0.75,N/A,http://jisho.org/search/いささか
4535,先頭,せんとう,"head, lead",10,0.93,5035,http://jisho.org/search/先頭
4536,真っ黒,まっくろ,black,10,0.87,1082,http://jisho.org/search/真っ黒
4537,すっと,すっと,quickly; quietly; straight,10,0.71,3210,http://jisho.org/search/すっと
4538,公共,こうきょう,"public, common",10,0.94,2844,http://jisho.org/search/公共
4539,貴族,きぞく,"noble, nobility, aristocracy",10,0.88,N/A,http://jisho.org/search/貴族
4540,散る,ちる,"fall, drop",10,0.9,5499,http://jisho.org/search/散る
4541,路地,ろじ,"alley, lane",10,0.79,N/A,http://jisho.org/search/路地
4542,緑色,みどりいろ,green,10,0.95,1487,http://jisho.org/search/緑色
4543,逃げ出す,にげだす,run away,10,0.78,5111,http://jisho.org/search/逃げ出す
4544,繁栄,はんえい,prosperity,10,0.9,5652,http://jisho.org/search/繁栄
4545,銃,じゅう,gun,10,0.79,N/A,http://jisho.org/search/銃
4546,今後とも,こんごとも,"from now on, in the future",10,0.42,N/A,http://jisho.org/search/今後とも
4547,担ぐ,かつぐ,"carry, shoulder",10,0.85,2421,http://jisho.org/search/担ぐ
4548,撒く,まく,"scatter, water",10,0.95,N/A,http://jisho.org/search/撒く
4549,合理的,ごうりてき,"reasonable, rational",10,0.69,2753,http://jisho.org/search/合理的
4550,果て,はて,the end,10,0.87,N/A,http://jisho.org/search/果て
4551,霧,きり,fog,10,0.87,3882,http://jisho.org/search/霧
4552,主催,しゅさい,"promotion, organizing",10,0.71,3539,http://jisho.org/search/主催
4553,選択肢,せんたくし,"choices, alternatives",10,0.98,N/A,http://jisho.org/search/選択肢
4554,密接,みっせつ,close,10,0.73,N/A,http://jisho.org/search/密接
4555,煮込む,にこむ,stew,10,0.88,N/A,http://jisho.org/search/煮込む
4556,表,おもて,"front; outside, surface",10,0.66,1054,http://jisho.org/search/表
4557,錯覚,さっかく,"illusion, delusion, trick",10,0.89,N/A,http://jisho.org/search/錯覚
4558,乗り物,のりもの,vehicle; (amusement park) ride,10,0.89,982,http://jisho.org/search/乗り物
4559,スパゲッティー,すぱげってぃー,spaghetti,10,0.12,N/A,http://jisho.org/search/スパゲッティー
4560,隣接,りんせつ,"adjacent, adjoin, next to",10,0.96,N/A,http://jisho.org/search/隣接
4561,二千三年,にせんさんねん,2003 (year),10,0.87,N/A,http://jisho.org/search/二千三年
4562,ごまかす,ごまかす,"cheat, deceive",10,0.92,2679,http://jisho.org/search/ごまかす
4563,テクニック,てくにっく,technique,10,0.89,N/A,http://jisho.org/search/テクニック
4564,ステップ,すてっぷ,step,10,0.86,N/A,http://jisho.org/search/ステップ
4565,任務,にんむ,"duty, task, mission, role",10,0.74,5051,http://jisho.org/search/任務
4566,小川,おがわ,stream,10,0.95,2049,http://jisho.org/search/小川
4567,ロープ,ろーぷ,rope,10,0.87,4495,http://jisho.org/search/ロープ
4568,到達,とうたつ,arrival,10,0.91,5594,http://jisho.org/search/到達
4569,イエス,いえす,yes; Jesus (Christ),10,0.81,N/A,http://jisho.org/search/イエス
4570,上海,しゃんはい,Shanghai,10,0.92,N/A,http://jisho.org/search/上海
4571,顕著,けんちょ,"conspicuous, remarkable",10,0.76,N/A,http://jisho.org/search/顕著
4572,生まれ育つ,うまれそだつ,be born and raised,10,0.79,N/A,http://jisho.org/search/生まれ育つ
4573,ファッション,ふぁっしょん,fashion,10,0.88,4376,http://jisho.org/search/ファッション
4574,緊張感,きんちょうかん,tension,10,0.92,N/A,http://jisho.org/search/緊張感
4575,容器,ようき,"container, vessel",10,0.98,5524,http://jisho.org/search/容器
4576,サポート,さぽーと,support,10,0.81,N/A,http://jisho.org/search/サポート
4577,転ぶ,ころぶ,"fall, slip",10,0.97,1009,http://jisho.org/search/転ぶ
4578,まし,まし,better,10,0.76,5068,http://jisho.org/search/まし
4579,東北,とうほく,"Northeast, Tohoku region",10,0.97,N/A,http://jisho.org/search/東北
4580,亡くす,なくす,lose,10,0.88,4894,http://jisho.org/search/亡くす
4581,サラダ,さらだ,salad,10,0.81,1365,http://jisho.org/search/サラダ
4582,注意点,ちゅういてん,important point,10,0.78,N/A,http://jisho.org/search/注意点
4583,DNA,でぃーえぬえー,"DNA, deoxyribonucleic acid",10,0.9,N/A,http://jisho.org/search/DNA
4584,米軍,べいぐん,US armed forces,10,0.86,N/A,http://jisho.org/search/米軍
4585,デメリット,でめりっと,disadvantage,10,0.89,N/A,http://jisho.org/search/デメリット
4586,国道,こくどう,national highway,10,0.95,2186,http://jisho.org/search/国道
4587,浸透,しんとう,"soaking, penetration",10,0.95,N/A,http://jisho.org/search/浸透
4588,合図,あいず,"signal, sign",10,0.85,2166,http://jisho.org/search/合図
4589,フェリー,ふぇりー,ferry,10,0.84,N/A,http://jisho.org/search/フェリー
4590,貿易,ぼうえき,"trade, commerce",10,0.52,1488,http://jisho.org/search/貿易
4591,照明,しょうめい,lighting,10,0.91,3373,http://jisho.org/search/照明
4592,招待,しょうたい,invitation,10,0.93,1612,http://jisho.org/search/招待
4593,年々,ねんねん,year after year,10,0.79,4016,http://jisho.org/search/年々
4594,十一年,じゅういちねん,eleven years,10,0.69,N/A,http://jisho.org/search/十一年
4595,武士,ぶし,"warrior, samurai",10,0.81,5616,http://jisho.org/search/武士
4596,そりゃ,そりゃ,that is,10,0.62,N/A,http://jisho.org/search/そりゃ
4597,対抗,たいこう,"competition, rivalry",10,0.93,N/A,http://jisho.org/search/対抗
4598,者達,ものたち,people,10,0.56,N/A,http://jisho.org/search/者達
4599,警察官,けいさつかん,police officer,10,0.88,N/A,http://jisho.org/search/警察官
4600,丸める,まるめる,"curl up, wad up",10,0.89,N/A,http://jisho.org/search/丸める
4601,最新,さいしん,"newest, latest",10,0.97,N/A,http://jisho.org/search/最新
4602,他者,たしゃ,"another person, others",10,0.66,N/A,http://jisho.org/search/他者
4603,挿入,そうにゅう,insertion,10,0.76,N/A,http://jisho.org/search/挿入
4604,賢い,かしこい,"wise, clever",10,0.92,3847,http://jisho.org/search/賢い
4605,腐る,くさる,"rot, decay, go off",10,0.89,1907,http://jisho.org/search/腐る
4606,こだわり,こだわり,"concern, obsession",10,0.78,N/A,http://jisho.org/search/こだわり
4607,悲惨,ひさん,miserable,10,0.96,N/A,http://jisho.org/search/悲惨
4608,キリスト,きりすと,Christ,10,0.81,2629,http://jisho.org/search/キリスト
4609,辛さ,つらさ,pain,10,0.84,N/A,http://jisho.org/search/辛さ
4610,二三日,にさんにち,two or three days,10,0.46,N/A,http://jisho.org/search/二三日
4611,講演,こうえん,"lecture, talk",10,0.63,3560,http://jisho.org/search/講演
4612,誤る,あやまる,"make a mistake, be wrong",10,0.92,3256,http://jisho.org/search/誤る
4613,人権,じんけん,human rights,10,0.84,3416,http://jisho.org/search/人権
4614,両側,りょうがわ,both sides,10,0.84,5274,http://jisho.org/search/両側
4615,餅,もち,rice cake,10,0.95,5996,http://jisho.org/search/餅
4616,鎌倉,かまくら,Kamakura (place name),10,0.91,N/A,http://jisho.org/search/鎌倉
